layer,relation,accuracy,n
0,HasContext,0.0000,45
0,SimilarTo,0.0217,46
0,AtLocation,0.0833,48
0,UsedFor,0.0222,45
0,CapableOf,0.0652,46
1,HasContext,0.2889,45
1,SimilarTo,0.2826,46
1,AtLocation,0.3542,48
1,UsedFor,0.4222,45
1,CapableOf,0.4130,46
2,HasContext,0.3778,45
2,SimilarTo,0.2609,46
2,AtLocation,0.4792,48
2,UsedFor,0.5556,45
2,CapableOf,0.5652,46
3,HasContext,0.3556,45
3,SimilarTo,0.3696,46
3,AtLocation,0.4792,48
3,UsedFor,0.5778,45
3,CapableOf,0.6957,46
4,HasContext,0.3778,45
4,SimilarTo,0.5435,46
4,AtLocation,0.5208,48
4,UsedFor,0.5111,45
4,CapableOf,0.5652,46
